id;tier;status;class;year;country;region;cases;deaths;source;url;comment
ecdc-andv-2026;official;official_total;OFFICIAL_AGGREGATE;2026;Multi-country / MV Hondius;South Atlantic / Tenerife;11;3;ECDC;https://www.ecdc.europa.eu/en/infectious-disease-topics/hantavirus-infection/surveillance-and-updates/andes-hantavirus-outbreak;Официальная сводка ECDC. Используется как основной источник по вспышке.
arcgis-signal-73;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;BELGIUM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.belganewsagency.eu/four-belgians-cleared-after-hantavirus-contact-tracing-linked-to-cruise-ship-outbreak;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Netherlands then to Antwerp Belgium
arcgis-signal-74;signal;unknown;SIGNAL_NOT_CONFIRMED_CASE;2026;MV HONDUS;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10. Unknowns where
arcgis-signal-75;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/british-columbia/hantavirus-cruise-ship-canadians-b-c-9.7194477;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to British Columbia
arcgis-signal-76;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/british-columbia/hantavirus-cruise-ship-canadians-b-c-9.7194477;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to British Columbia
arcgis-signal-77;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/british-columbia/hantavirus-cruise-ship-canadians-b-c-9.7194477;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to British Columbia
arcgis-signal-78;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/british-columbia/hantavirus-cruise-ship-canadians-b-c-9.7194477;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to British Columbia
arcgis-signal-79;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GERMANY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.reuters.com/business/healthcare-pharmaceuticals/germany-monitors-four-contacts-hantavirus-hit-cruise-frankfurt-2026-05-11/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to home state in Germany
arcgis-signal-80;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GERMANY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.reuters.com/business/healthcare-pharmaceuticals/germany-monitors-four-contacts-hantavirus-hit-cruise-frankfurt-2026-05-11/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to home state in Germany
arcgis-signal-81;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GERMANY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.reuters.com/business/healthcare-pharmaceuticals/germany-monitors-four-contacts-hantavirus-hit-cruise-frankfurt-2026-05-11/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to home state in Germany
arcgis-signal-82;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GERMANY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.reuters.com/business/healthcare-pharmaceuticals/germany-monitors-four-contacts-hantavirus-hit-cruise-frankfurt-2026-05-11/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to home state in Germany
arcgis-signal-83;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GREECE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.ekathimerini.com/news/1303396/greek-passenger-from-hantavirus-hit-cruise-ship-quarantined-in-athens/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and will be transported to Athens
arcgis-signal-84;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NETHERLANDS;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, crew member disembarked May 10 and monitoring in Netherlands
arcgis-signal-85;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NETHERLANDS;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.thehindu.com/news/national/two-indians-aboard-cruise-ship-with-hantavirus-cases-evacuated-to-netherlands/article70964200.ece;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, crew member disembarked May 10 and monitoring in Netherlands
arcgis-signal-86;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;IRELAND;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.bbc.com/news/articles/czx20wzlveeo;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Dublin
arcgis-signal-87;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;IRELAND;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.bbc.com/news/articles/czx20wzlveeo;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Dublin
arcgis-signal-88;signal;unknown;SIGNAL_NOT_CONFIRMED_CASE;2026;TENERIFE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 as per ocean liner data - and currently unknown location
arcgis-signal-89;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-90;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-91;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-92;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-93;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-94;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-95;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-96;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-97;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-98;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-99;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-100;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-101;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-102;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-103;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-104;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-105;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-106;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-107;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-108;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, crew member disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-109;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, crew member disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-110;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.theguardian.com/world/2026/may/10/hantavirus-cruise-ship-tenerife-evacuate-passengers-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, crew member disembarked May 10 and 72 hour quarantine in Wirral then 45 days in home isolation
arcgis-signal-111;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;SPAIN;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://elpais.com/sociedad/2026-05-11/ultima-hora-del-brote-de-hantavirus-en-directo.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and tested positve with no symptoms
who-don600-2026;official;official_total;OFFICIAL_AGGREGATE;2026;Multi-country / MV Hondius;South Atlantic;8;3;WHO Disease Outbreak News;https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON600;Историческая официальная сводка WHO. Не считается в главном total, чтобы не было двойного счета.
