id;tier;status;class;year;country;region;cases;deaths;source;url;comment
ecdc-andv-2026;official;official_total;OFFICIAL_AGGREGATE;2026;Multi-country / MV Hondius;South Atlantic / Tenerife;11;3;ECDC;https://www.ecdc.europa.eu/en/infectious-disease-topics/hantavirus-infection/surveillance-and-updates/andes-hantavirus-outbreak;Официальная сводка ECDC. Используется как основной источник по вспышке.
arcgis-signal-16;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;UNITED KINGDOM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard Ship, departed April 24th. No symptoms
arcgis-signal-17;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;ARIZONA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cnn.com/2026/05/07/world/hantavirus-ship-tenerife-outbreak-intl;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th, no symptoms
arcgis-signal-22;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;PRAIA, CAPE VERDE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;MV Hondius 146 People on board
arcgis-signal-18;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/toronto/hantavirus-cruise-ontario-passengers-isolating-9.7191211;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed on April 24th, no symptoms
arcgis-signal-19;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/toronto/hantavirus-cruise-ontario-passengers-isolating-9.7191211;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th, no symptoms
arcgis-signal-20;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CANADA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/canada/toronto/hantavirus-cruise-ontario-passengers-isolating-9.7191211;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th no symptoms
arcgis-signal-21;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;TEXAS;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.dshs.texas.gov/news-alerts/dshs-statement-texas-residents-who-were-board-mv-hondius;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th, no symptoms
arcgis-signal-23;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;CALIFORNIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.forbes.com/sites/maryroeloffs/2026/05/08/hantavirus-infected-cruise-ship-new-suspected-case-identified-dutch-flight-attendant-tests-negative--latest-updates/?streamIndex=0;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Undisclosed number of people being monitored. Onboard ship & departed April 24th
arcgis-signal-13;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;FRANCE;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.ctvnews.ca/canada/article/people-on-hantavirus-ship-ate-every-meal-side-by-side-even-after-first-death-passenger-says-live-updates-here/#:~:text=A%20French%20citizen%20with%20%E2%80%9Cbenign,said%20in%20a%20statement%20Thursday.;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th. CONFIRMED to have been onboard ship prior to air travel.
arcgis-signal-25;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEW JERSEY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.nj.gov/health/news/2026/approved/20260508a.shtml;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Not passenger on ship, was on April 24th flight
arcgis-signal-26;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;ALICANTE, SPAIN;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.forbes.com/sites/maryroeloffs/2026/05/08/another-hantavirus-case-suspected-in-spanish-woman-authorities-say-latest-updates/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on April 24th flight, being tested
arcgis-signal-27;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;ST HELENA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.google.com/search?q=disembarked&oq=disembarked&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDMyOTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship on April 24, no symptoms
arcgis-signal-28;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;ST HELENA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.google.com/search?q=disembarked&oq=disembarked&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDMyOTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship on April 24th, no symptoms. British passenger
arcgis-signal-29;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;ST HELENA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.google.com/search?q=disembarked&oq=disembarked&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDMyOTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship on April 24th. No symptoms, British passenger
arcgis-signal-30;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;ST HELENA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.google.com/search?q=disembarked&oq=disembarked&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDMyOTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship on April 24th. No symptoms, British passenger
arcgis-signal-31;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;TRISTAN DA CUNHA;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak#full-publication-update-history;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;British national, Onboard ship departed, CONFIRMED
arcgis-signal-32;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;TURKEY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.turkishminute.com/2026/05/08/turkey-says-no-hantavirus-cases-found-after-cruise-ship-outbreak-involving-turkish-nationals/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard shio, disembarked April 24 Travel Vlogger, no symptoms
arcgis-signal-33;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;TURKEY;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.turkishminute.com/2026/05/08/turkey-says-no-hantavirus-cases-found-after-cruise-ship-outbreak-involving-turkish-nationals/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, Disembarked April 24th, cameraman Turkish national
arcgis-signal-34;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;VIRGINIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.vdh.virginia.gov/blog/2026/05/07/hantavirus-statement-from-the-virginia-department-of-health/;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;On the MV Hondius disembarked the ship April 24th and has returned home
arcgis-signal-35;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;TRISTAN DA CUNHA;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Not on ship, Wife of case 8, in isolation
arcgis-signal-36;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;FRANCE;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.tagesschau.de/ausland/europa/hantavirus-schiff-102.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;French passenger, started experiencing symptoms on repatriation flight back to France on 10 May
arcgis-signal-42;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;FRANCE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.tagesschau.de/ausland/europa/hantavirus-schiff-102.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, one of 5 French citizens flown back on May 10
arcgis-signal-43;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;FRANCE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.tagesschau.de/ausland/europa/hantavirus-schiff-102.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, one of 5 French citizens flown back on May 10
arcgis-signal-44;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;FRANCE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.tagesschau.de/ausland/europa/hantavirus-schiff-102.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, one of 5 French citizens flown back on May 10
arcgis-signal-45;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;FRANCE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.tagesschau.de/ausland/europa/hantavirus-schiff-102.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, one of 5 French citizens flown back May 10
arcgis-signal-46;signal;unknown;SIGNAL_NOT_CONFIRMED_CASE;2026;UNKNOWN;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship on April 24. No Details or information can be found
arcgis-signal-47;signal;unknown;SIGNAL_NOT_CONFIRMED_CASE;2026;UNKNOWN;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;British passenger, Disembarked April 24th
arcgis-signal-48;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;UNITED STATES;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.tagesschau.de/ausland/europa/hantavirus-schiff-102.html;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship with Americans on May 10. No symptoms and tested positive
arcgis-signal-49;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source:   https://abcnews.com/International/live-updates/hantavirus-live-updates-mv-hondius-canary-islands/?id=132746955&entryId=132836441;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Disembarked ship with Americans on May 10. Symptoms but tested negative
arcgis-signal-50;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;AUSTRALIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.abc.net.au/news/2026-05-11/australian-repatriation-flight-hantavirus-cruise-ship/106665202;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on the MV Hondus, disembarked on May 10 and to be in Perth for quarantine
arcgis-signal-51;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;AUSTRALIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.abc.net.au/news/2026-05-11/australian-repatriation-flight-hantavirus-cruise-ship/106665202;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on the MV Hondus, disembarked on May 10 and to be in Perth for quarantine
arcgis-signal-52;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;AUSTRALIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.abc.net.au/news/2026-05-11/australian-repatriation-flight-hantavirus-cruise-ship/106665202;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on the MV Hondus, disembarked on May 10 and to be in Perth for quarantine
arcgis-signal-53;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;AUSTRALIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.abc.net.au/news/2026-05-11/australian-repatriation-flight-hantavirus-cruise-ship/106665202;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on the MV Hondus, disembarked on May 10 and to be in Perth for quarantine
arcgis-signal-54;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;AUSTRALIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.abc.net.au/news/2026-05-11/australian-repatriation-flight-hantavirus-cruise-ship/106665202;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on the MV Hondus, disembarked on May 10 and to be in Perth for quarantine
arcgis-signal-55;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;AUSTRALIA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.abc.net.au/news/2026-05-11/australian-repatriation-flight-hantavirus-cruise-ship/106665202;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Passenger on the MV Hondus, New Zealander, disembarked on May 10 and to be in Perth for quarantine
arcgis-signal-56;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-57;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-58;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-59;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-60;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-61;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-62;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-63;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-64;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-65;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-66;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-67;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-68;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-69;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-70;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-71;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NEBRASKA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.npr.org/2026/05/10/nx-s1-5817578/hantavirus-cruise-ship-nebraska-us-passengers;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Nebraska
arcgis-signal-72;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;BELGIUM;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.belganewsagency.eu/four-belgians-cleared-after-hantavirus-contact-tracing-linked-to-cruise-ship-outbreak;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondus, disembarked May 10 and transported to Netherlands then to Antwerp Belgium
